presiden O
terpilih O
joko B-PERSON
widodo I-PERSON
mengungkapkan O
pihaknya O
tidak O
akan O
membedakan O
spesifikasi O
kandidat O
menteri O
yang O
diusung O
oleh O
partai O
politik O
pengusung O
maupun O
pendukung O
ya O
sama O
dong O
masak O
dibedakan O
ujar O
joko B-PERSON
widodo I-PERSON
atau O
yang O
karib O
disapa O
jokowi B-PERSON
di O
k O
antor B-LOCATION
transisi I-LOCATION
joko I-LOCATION
widodo-jusuf I-LOCATION
kalla I-LOCATION
di O
jalan B-LOCATION
situbondo I-LOCATION
nomor I-LOCATION
10 I-LOCATION
, I-LOCATION
menteng I-LOCATION
, I-LOCATION
jakarta I-LOCATION
pusat I-LOCATION
kamis B-TIME
( I-TIME
25/9/2014 I-TIME
) I-TIME
jokowi B-PERSON
mengatakan O
meski O
memiliki O
hak O
prerogatif O
memilih O
siapa O
ia O
tetap O
akan O
melakukan O
komunikasi O
dengan O
para O
ketua O
umum O
partai O
mengenai O
menteri O
yang O
diusung O
parpol O
nanti O
dengan O
semua O
partai O
saya O
akan O
berbicara O
tapi O
nama O
menteri O
saja O
belum O
ucap O
jokowi B-PERSON
seperti O
diketahui O
telah O
menetapkan O
postur O
kabinetnya O
sebanyak O
kementerian O
komposisi O
menteri O
pun O
dibagi O
dua O
menteri O
dari O
profesional O
dan O
menteri O
dari O
profesional O
yang O
bernaung O
di O
partai O
politik O
badan B-ORGANIZATION
pengawas I-ORGANIZATION
pemilu I-ORGANIZATION
( I-ORGANIZATION
bawaslu I-ORGANIZATION
) I-ORGANIZATION
menyampaikan O
temuannya O
ada O
sekitar O
4.1 B-QUANTITY
juta I-QUANTITY
pemilih O
berdasar O
data O
penduduk O
potensial O
pemilih O
pemilu O
salah O
administrasi O
namun O
kpu B-ORGANIZATION
baru O
mengetahuinya O
komisioner O
kpu O
hadar B-PERSON
nafis I-PERSON
gumay I-PERSON
mengaku O
baru O
mengetahui O
temuan O
kpu B-ORGANIZATION
sehingga O
dalam O
proses O
pemutakhiran O
data O
pemilih O
tidak O
sempat O
terpantau O
data O
itu O
baru O
kami O
ketahui O
hari O
ini O
ujarnya O
di O
dpr B-LOCATION
, I-LOCATION
jakarta I-LOCATION
senin B-TIME
( I-TIME
15/7/2013 I-TIME
) I-TIME
menurut O
hadar B-PERSON
kpu B-ORGANIZATION
kendati O
menggunakan O
dari O
kementerian O
dalam O
negeri O
namun O
dalam O
proses O
pemutakhiran O
data O
di O
lapangan O
tidak O
menemukan O
kesalahan O
sebagaimana O
temuan O
bawaslu B-ORGANIZATION
salah O
satu O
temuan O
yang O
diakui O
kpu B-ORGANIZATION
adanya O
nik O
nomor O
induk O
kependudukan O
ganda O
namun O
angkanya O
tidak O
sebanyak O
yang O
ditemukan O
bawaslu B-ORGANIZATION
sampai O
jutaan O
ia O
memastikan O
akan O
memperbaiki O
temuan O
bawaslu B-ORGANIZATION
saat O
perbaikan O
dps O
wakil O
ketua O
umum O
partai B-ORGANIZATION
demokrat I-ORGANIZATION
nurhayati B-PERSON
ali I-PERSON
assegaf I-PERSON
mengatakan O
faktor O
utama O
yang O
membuat O
partai B-ORGANIZATION
demokrat I-ORGANIZATION
bisa O
besar O
seperti O
saat O
ini O
ialah O
karena O
pengaruh O
dari O
ketua O
umum O
partai B-ORGANIZATION
demokrat I-ORGANIZATION
saat O
ini O
susilo B-PERSON
bambang I-PERSON
yudhoyono I-PERSON
nurhayati B-PERSON
lalu O
membandingkan O
partai B-ORGANIZATION
demokrat I-ORGANIZATION
dengan O
partai B-ORGANIZATION
demokrasi I-ORGANIZATION
indonesia I-ORGANIZATION
perjuangan I-ORGANIZATION
yang O
juga O
besar O
karena O
faktor O
ketokohan O
pemimpinnya O
kalau O
di O
indonesia O
misalnya O
pdi-p B-ORGANIZATION
lahir O
dan O
besar O
karena O
trahnya O
soekarno B-PERSON
megawati B-PERSON
akan O
tetap O
memegang O
trahnya O
karena O
soekarno B-PERSON
sama O
halnya O
dengan O
demokrat B-ORGANIZATION
demokrat B-ORGANIZATION
lahir O
dan O
besar O
karena O
sby B-PERSON
ujar O
nurhayati B-PERSON
di O
kompleks B-LOCATION
parlemen I-LOCATION
senayan I-LOCATION
, I-LOCATION
jakarta I-LOCATION
